,Field Name,Year,gwp,Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Transport Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Emissions Intensity (kgCO2eq/boe),Midstream Emissions Intensity (kgCO2eq/boe),Transport Emissions Intensity (kgCO2eq/boe),Downstream Emissions Intensity (kgCO2eq/boe)
3803,Kalamkas,2022,100,0.9526038443486688,0.0045218409233976,0.0025999387434032,0.0222162770623482,62.53779149531662,46.27418181334916,15.485872703907509,401.68949882681096
3852,Karachaganak,2015,20,0.4450446647849514,0.0,0.0822063937800292,0.0725889365312303,62.89427032952317,27.511882467063653,34.88381176518947,341.6741996724636
3853,Karachaganak,2015,100,0.4450446647849514,0.0,0.0822063937800292,0.0725395899106884,33.40819397081628,27.23005062110721,23.35216010594144,337.83683305320403
3854,Karachaganak,2016,20,0.4472164630207655,0.0,0.0855916748219234,0.0747379927135649,63.12734800400535,27.24118251918812,35.96667531688868,341.47379537717484
3855,Karachaganak,2016,100,0.4472164630207655,0.0,0.0855916748219234,0.0746889791883956,33.5023317960191,26.96190720281671,23.856744457041945,337.5236968484154
3856,Karachaganak,2017,20,0.4417240892467653,0.0,0.0798878199019775,0.0711170716144842,62.8120182349284,27.690921633115185,34.15635384820053,341.79569385742366
3857,Karachaganak,2017,100,0.4417240892467653,0.0,0.0798878199019775,0.0710675101827473,33.44098462672012,27.407406721273173,23.01069825953545,338.0355360356391
3858,Karachaganak,2018,20,0.4430024614592915,0.0,0.0814407597490615,0.0721037437937523,63.06173368827497,27.564358698373155,34.64439586532756,341.692998218168
3859,Karachaganak,2018,100,0.4430024614592915,0.0,0.0814407597490615,0.0720543285160835,33.57802229581006,27.28202545680397,23.237738329160067,337.88108439027434
3860,Karachaganak,2019,20,0.44624857030595,0.0,0.08615907122007,0.0750992263289784,63.37926030092368,27.188005961865706,36.15405924651777,341.4148501875081
3861,Karachaganak,2019,100,0.44624857030595,0.0,0.08615907122007,0.0750502710251964,33.698929358843415,26.909222608941903,23.941653249752907,337.4458041628634
3862,Karachaganak,2020,20,0.437780853560244,0.0,0.0744165250866377,0.0676388541659836,63.069591827307285,28.120832671416007,32.4726563856708,342.12789401168106
3863,Karachaganak,2020,100,0.437780853560244,0.0,0.0744165250866377,0.067588833491287,33.74463832534124,27.833356701064904,22.22056068050657,338.5501839082273
3864,Karachaganak,2021,20,0.4332177285067131,0.0,0.0677769462150679,0.0634067155309756,62.969030319334,28.657330473019385,30.4928376052488,342.62631956860025
3865,Karachaganak,2021,100,0.4332177285067131,0.0,0.0677769462150679,0.0633562430317766,33.817115644070384,28.365083642647047,21.291889851855608,339.270588187048
3866,Karachaganak,2022,20,0.4476730718171752,0.0,0.0879421801173919,0.076229661037896,63.97133679118945,27.039389202784044,36.7339787042391,341.3000739470376
3867,Karachaganak,2022,100,0.4476730718171752,0.0,0.0879421801173919,0.0761809070042398,34.07167092949112,26.76203553888278,24.20930246268013,337.27172776916854
7827,Tengiz,2015,20,0.546694092241082,0.0036325325393177,0.0021169911997839,0.0190966389691609,74.38418734559703,37.488124270624496,14.024948872147768,365.0057001760458
7828,Tengiz,2015,100,0.546694092241082,0.0035256614071057,0.0021169911997839,0.0190332095239672,41.295914294783785,37.11508003648643,12.825974989359992,364.0006235405857
7829,Tengiz,2016,20,0.5444262855432828,0.003602704689141,0.0021103671379635,0.019045041056097,74.39740919065193,37.27161107775317,13.995583971899476,364.5675193220597
